State,Level,Name,TRU,TOT_P,TOT_M,TOT_F
03,DISTRICT,Gurdaspur,Total,2298323,1212617,1085706
03,DISTRICT,Gurdaspur,Rural,1639004,855784,783220
03,DISTRICT,Gurdaspur,Urban,659319,356833,302486
03,DISTRICT,Kapurthala ,Total,815168,426311,388857
03,DISTRICT,Kapurthala ,Rural,532706,275932,256774
03,DISTRICT,Kapurthala ,Urban,282462,150379,132083
03,DISTRICT,Jalandhar,Total,2193590,1145211,1048379
03,DISTRICT,Jalandhar,Rural,1032419,528790,503629
03,DISTRICT,Jalandhar,Urban,1161171,616421,544750
03,DISTRICT,Hoshiarpur,Total,1586625,809057,777568
03,DISTRICT,Hoshiarpur,Rural,1251656,634470,617186
03,DISTRICT,Hoshiarpur,Urban,334969,174587,160382
03,DISTRICT,Shahid Bhagat Singh Nagar ,Total,612310,313291,299019
03,DISTRICT,Shahid Bhagat Singh Nagar ,Rural,486894,248118,238776
03,DISTRICT,Shahid Bhagat Singh Nagar ,Urban,125416,65173,60243
03,DISTRICT,Fatehgarh Sahib,Total,600163,320795,279368
03,DISTRICT,Fatehgarh Sahib,Rural,414681,220050,194631
03,DISTRICT,Fatehgarh Sahib,Urban,185482,100745,84737
03,DISTRICT,Ludhiana,Total,3498739,1867816,1630923
03,DISTRICT,Ludhiana,Rural,1429031,753444,675587
03,DISTRICT,Ludhiana,Urban,2069708,1114372,955336
03,DISTRICT,Moga,Total,995746,525920,469826
03,DISTRICT,Moga,Rural,768500,405704,362796
03,DISTRICT,Moga,Urban,227246,120216,107030
03,DISTRICT,Firozpur,Total,2029074,1071637,957437
03,DISTRICT,Firozpur,Rural,1476518,776208,700310
03,DISTRICT,Firozpur,Urban,552556,295429,257127
03,DISTRICT,Muktsar,Total,901896,475622,426274
03,DISTRICT,Muktsar,Rural,649705,342202,307503
03,DISTRICT,Muktsar,Urban,252191,133420,118771
03,DISTRICT,Faridkot,Total,617508,326671,290837
03,DISTRICT,Faridkot,Rural,400457,210782,189675
03,DISTRICT,Faridkot,Urban,217051,115889,101162
03,DISTRICT,Bathinda,Total,1388525,743197,645328
03,DISTRICT,Bathinda,Rural,889308,474484,414824
03,DISTRICT,Bathinda,Urban,499217,268713,230504
03,DISTRICT,Mansa,Total,769751,408732,361019
03,DISTRICT,Mansa,Rural,606147,322184,283963
03,DISTRICT,Mansa,Urban,163604,86548,77056
03,DISTRICT,Patiala,Total,1895686,1002522,893164
03,DISTRICT,Patiala,Rural,1132406,598800,533606
03,DISTRICT,Patiala,Urban,763280,403722,359558
03,DISTRICT,Amritsar ,Total,2490656,1318408,1172248
03,DISTRICT,Amritsar ,Rural,1156045,607266,548779
03,DISTRICT,Amritsar ,Urban,1334611,711142,623469
03,DISTRICT,Tarn Taran,Total,1119627,589369,530258
03,DISTRICT,Tarn Taran,Rural,977832,514322,463510
03,DISTRICT,Tarn Taran,Urban,141795,75047,66748
03,DISTRICT,Rupnagar,Total,684627,357485,327142
03,DISTRICT,Rupnagar,Rural,506820,264089,242731
03,DISTRICT,Rupnagar,Urban,177807,93396,84411
03,DISTRICT,Sahibzada Ajit Singh Nagar,Total,994628,529253,465375
03,DISTRICT,Sahibzada Ajit Singh Nagar,Rural,450017,240984,209033
03,DISTRICT,Sahibzada Ajit Singh Nagar,Urban,544611,288269,256342
03,DISTRICT,Sangrur,Total,1655169,878029,777140
03,DISTRICT,Sangrur,Rural,1139204,604653,534551
03,DISTRICT,Sangrur,Urban,515965,273376,242589
03,DISTRICT,Barnala,Total,595527,317522,278005
03,DISTRICT,Barnala,Rural,404842,215210,189632
03,DISTRICT,Barnala,Urban,190685,102312,88373
04,STATE,CHANDIGARH,Total,1055450,580663,474787
04,STATE,CHANDIGARH,Rural,28991,17150,11841
04,STATE,CHANDIGARH,Urban,1026459,563513,462946
04,DISTRICT,Chandigarh,Total,1055450,580663,474787
04,DISTRICT,Chandigarh,Rural,28991,17150,11841
04,DISTRICT,Chandigarh,Urban,1026459,563513,462946
05,STATE,UTTARAKHAND,Total,10086292,5137773,4948519
05,STATE,UTTARAKHAND,Rural,7036954,3519042,3517912
05,STATE,UTTARAKHAND,Urban,3049338,1618731,1430607
05,DISTRICT,Uttarkashi,Total,330086,168597,161489
05,DISTRICT,Uttarkashi,Rural,305781,155375,150406
05,DISTRICT,Uttarkashi,Urban,24305,13222,11083
05,DISTRICT,Chamoli,Total,391605,193991,197614
05,DISTRICT,Chamoli,Rural,332209,160369,171840
05,DISTRICT,Chamoli,Urban,59396,33622,25774
05,DISTRICT,Rudraprayag,Total,242285,114589,127696
05,DISTRICT,Rudraprayag,Rural,232360,108740,123620
05,DISTRICT,Rudraprayag,Urban,9925,5849,4076
05,DISTRICT,Tehri Garhwal,Total,618931,297986,320945
05,DISTRICT,Tehri Garhwal,Rural,548792,259381,289411
05,DISTRICT,Tehri Garhwal,Urban,70139,38605,31534
05,DISTRICT,Dehradun,Total,1696694,892199,804495
05,DISTRICT,Dehradun,Rural,754753,392891,361862
05,DISTRICT,Dehradun,Urban,941941,499308,442633
05,DISTRICT,Garhwal,Total,687271,326829,360442
05,DISTRICT,Garhwal,Rural,574568,268029,306539
05,DISTRICT,Garhwal,Urban,112703,58800,53903
05,DISTRICT,Pithoragarh,Total,483439,239306,244133
05,DISTRICT,Pithoragarh,Rural,413834,202930,210904
05,DISTRICT,Pithoragarh,Urban,69605,36376,33229
05,DISTRICT,Bageshwar,Total,259898,124326,135572
05,DISTRICT,Bageshwar,Rural,250819,119615,131204
05,DISTRICT,Bageshwar,Urban,9079,4711,4368
05,DISTRICT,"Almora
",Total,622506,291081,331425
05,DISTRICT,"Almora
",Rural,560192,257359,302833
05,DISTRICT,"Almora
",Urban,62314,33722,28592
05,DISTRICT,Champawat,Total,259648,131125,128523
05,DISTRICT,Champawat,Rural,221305,110842,110463
05,DISTRICT,Champawat,Urban,38343,20283,18060
05,DISTRICT,Nainital,Total,954605,493666,460939
05,DISTRICT,Nainital,Rural,582871,299257,283614
05,DISTRICT,Nainital,Urban,371734,194409,177325
05,DISTRICT,Udham Singh Nagar,Total,1648902,858783,790119
05,DISTRICT,Udham Singh Nagar,Rural,1062142,550470,511672
05,DISTRICT,Udham Singh Nagar,Urban,586760,308313,278447
05,DISTRICT,Hardwar,Total,1890422,1005295,885127
05,DISTRICT,Hardwar,Rural,1197328,633784,563544
05,DISTRICT,Hardwar,Urban,693094,371511,321583
06,STATE,HARYANA,Total,25351462,13494734,11856728
06,STATE,HARYANA,Rural,16509359,8774006,7735353
06,STATE,HARYANA,Urban,8842103,4720728,4121375
06,DISTRICT,Panchkula,Total,561293,299679,261614
06,DISTRICT,Panchkula,Rural,248063,133153,114910
06,DISTRICT,Panchkula,Urban,313230,166526,146704
06,DISTRICT,Ambala,Total,1128350,598703,529647
06,DISTRICT,Ambala,Rural,627576,331703,295873
06,DISTRICT,Ambala,Urban,500774,267000,233774
06,DISTRICT,Yamunanagar,Total,1214205,646718,567487
06,DISTRICT,Yamunanagar,Rural,741376,393957,347419
06,DISTRICT,Yamunanagar,Urban,472829,252761,220068
06,DISTRICT,Kurukshetra,Total,964655,510976,453679
06,DISTRICT,Kurukshetra,Rural,685430,361020,324410
06,DISTRICT,Kurukshetra,Urban,279225,149956,129269
06,DISTRICT,Kaithal,Total,1074304,571003,503301
06,DISTRICT,Kaithal,Rural,838293,445931,392362
06,DISTRICT,Kaithal,Urban,236011,125072,110939
06,DISTRICT,Karnal,Total,1505324,797712,707612
06,DISTRICT,Karnal,Rural,1050514,557110,493404
06,DISTRICT,Karnal,Urban,454810,240602,214208
06,DISTRICT,Panipat,Total,1205437,646857,558580
06,DISTRICT,Panipat,Rural,650352,349642,300710
06,DISTRICT,Panipat,Urban,555085,297215,257870
06,DISTRICT,Sonipat,Total,1450001,781299,668702
06,DISTRICT,Sonipat,Rural,996637,538750,457887
06,DISTRICT,Sonipat,Urban,453364,242549,210815
06,DISTRICT,Jind,Total,1334152,713006,621146
06,DISTRICT,Jind,Rural,1028569,550519,478050
06,DISTRICT,Jind,Urban,305583,162487,143096
06,DISTRICT,Fatehabad,Total,942011,495360,446651
06,DISTRICT,Fatehabad,Rural,762423,400814,361609
06,DISTRICT,Fatehabad,Urban,179588,94546,85042
06,DISTRICT,Sirsa,Total,1295189,682582,612607
06,DISTRICT,Sirsa,Rural,975941,514177,461764
06,DISTRICT,Sirsa,Urban,319248,168405,150843
06,DISTRICT,Hisar,Total,1743931,931562,812369
06,DISTRICT,Hisar,Rural,1190443,634139,556304
06,DISTRICT,Hisar,Urban,553488,297423,256065
06,DISTRICT,Bhiwani,Total,1634445,866672,767773
06,DISTRICT,Bhiwani,Rural,1313123,696212,616911
06,DISTRICT,Bhiwani,Urban,321322,170460,150862
06,DISTRICT,Rohtak,Total,1061204,568479,492725
06,DISTRICT,Rohtak,Rural,615040,332034,283006
06,DISTRICT,Rohtak,Urban,446164,236445,209719
06,DISTRICT,Jhajjar,Total,958405,514667,443738
06,DISTRICT,Jhajjar,Rural,715066,384219,330847
06,DISTRICT,Jhajjar,Urban,243339,130448,112891
06,DISTRICT,Mahendragarh,Total,922088,486665,435423
06,DISTRICT,Mahendragarh,Rural,789233,416358,372875
