State_Code,Literacy_Group,Total - Persons,Total - Males,Total - Females
21,Primary but below middle,7714716,4157327,3557389
21,Middle but below matric/secondary,5285243,3035765,2249478
21,Matric/Secondary but below graduate,5178562,3122104,2056458
21,Graduate and above,1783797,1174184,609613
22,Illiterate,10165276,4025002,6140274
22,Literate,15379922,8807893,6572029
22,Literate but below primary,3687369,2011523,1675846
22,Primary but below middle,4192144,2267581,1924563
22,Middle but below matric/secondary,3202404,1825488,1376916
22,Matric/Secondary but below graduate,2856326,1815791,1040535
22,Graduate and above,1018853,659081,359772
23,Illiterate,29775640,12437978,17337662
23,Literate,42851169,25174328,17676841
23,Literate but below primary,9582214,5242949,4339265
23,Primary but below middle,11878241,6640472,5237769
23,Middle but below matric/secondary,8431000,5094579,3336421
23,Matric/Secondary but below graduate,7744058,5009908,2734150
23,Graduate and above,3222802,2051127,1171675
24,Illiterate,19346334,8016387,11329947
24,Literate,41093358,23474873,17618485
24,Literate but below primary,8462829,4486708,3976121
24,Primary but below middle,10557001,5568559,4988442
24,Middle but below matric/secondary,6453935,4031450,2422485
24,Matric/Secondary but below graduate,9984720,6193323,3791397
24,Graduate and above,3174158,1891932,1282226
25,Illiterate,54841,25658,29183
25,Literate,188406,124643,63763
25,Literate but below primary,26623,15332,11291
25,Primary but below middle,41447,26048,15399
25,Middle but below matric/secondary,35626,24792,10834
25,Matric/Secondary but below graduate,64988,45447,19541
25,Graduate and above,12802,8425,4377
26,Illiterate,120479,51239,69240
26,Literate,223230,142521,80709
26,Literate but below primary,43709,24482,19227
26,Primary but below middle,48436,28803,19633
26,Middle but below matric/secondary,37385,24919,12466
26,Matric/Secondary but below graduate,60876,43072,17804
26,Graduate and above,19174,12227,6947
27,Illiterate,30820043,12985472,17834571
27,Literate,81554290,45257584,36296706
27,Literate but below primary,15335820,8069806,7266014
27,Primary but below middle,16628201,8346143,8282058
27,Middle but below matric/secondary,12592729,7132530,5460199
27,Matric/Secondary but below graduate,23790264,14262044,9528220
27,Graduate and above,8639081,5167671,3471410
28,Illiterate,34024017,14190903,19833114
28,Literate,50556760,28251243,22305517
28,Literate but below primary,7437519,3884076,3553443
28,Primary but below middle,13449300,6904114,6545186
28,Middle but below matric/secondary,5572154,3006742,2565412
28,Matric/Secondary but below graduate,15028263,8885040,6143223
28,Graduate and above,5577387,3632622,1944765
29,Illiterate,20447975,8458186,11989789
29,Literate,40647322,22508471,18138851
29,Literate but below primary,6924069,3655942,3268127
29,Primary but below middle,9493106,4944027,4549079
29,Middle but below matric/secondary,5161708,2869395,2292313
29,Matric/Secondary but below graduate,12381901,7129491,5252410
29,Graduate and above,4043647,2489209,1554438
30,Illiterate,293058,123317,169741
30,Literate,1165487,615823,549664
30,Literate but below primary,161303,80497,80806
30,Primary but below middle,181495,94300,87195
30,Middle but below matric/secondary,166523,91716,74807
30,Matric/Secondary but below graduate,402429,226752,175677
30,Graduate and above,146828,74077,72751
31,Illiterate,11920,5100,6820
31,Literate,52553,28023,24530
31,Literate but below primary,9410,4523,4887
31,Primary but below middle,12813,6500,6313
31,Middle but below matric/secondary,11305,5970,5335
31,Matric/Secondary but below graduate,13918,8275,5643
31,Graduate and above,2302,1458,844
32,Illiterate,5270237,2322509,2947728
32,Literate,28135824,13704903,14430921
32,Literate but below primary,4401497,2076920,2324577
32,Primary but below middle,5065710,2522296,2543414
32,Middle but below matric/secondary,5059809,2590783,2469026
32,Matric/Secondary but below graduate,9706516,4755722,4950794
32,Graduate and above,2531321,1131336,1399985
33,Illiterate,20309523,8097484,12212039
33,Literate,51837507,28040491,23797016
33,Literate but below primary,5629379,2861589,2767790
33,Primary but below middle,12325162,6479422,5845740
33,Middle but below matric/secondary,9608004,5087592,4520412
33,Matric/Secondary but below graduate,16331186,9206497,7124689
33,Graduate and above,5457742,3119342,2338400
34,Illiterate,290644,115133,175511
34,Literate,957309,497378,459931
34,Literate but below primary,93186,45162,48024
34,Primary but below middle,187723,89632,98091
