districtid,overallid,cases
JK_Ganderbal,overall,10013
JK_Jammu,overall,52907
JK_Kathua,overall,9273
JK_Kishtwar,overall,4707
JK_Kulgam,overall,11326
JK_Kupwara,overall,14151
JK_Pulwama,overall,15255
JK_Punch,overall,6289
JK_Rajouri,overall,11022
JK_Ramban,overall,5980
JK_Reasi,overall,6424
JK_Samba,overall,7130
JK_Shopiyan,overall,5589
JK_Srinagar,overall,71794
JK_Udhampur,overall,11365
KA_Bagalkote,overall,35136
KA_Ballari,overall,97511
KA_Belagavi,overall,78762
KA_Bengaluru Rural,overall,61271
KA_Bengaluru Urban,overall,1232597
KA_Bidar,overall,24284
KA_Chamarajanagara,overall,32638
KA_Chikkaballapura,overall,43797
KA_Chikkamagaluru,overall,49244
KA_Chitradurga,overall,36163
KA_Dakshina Kannada,overall,105533
KA_Davanagere,overall,50543
KA_Dharwad,overall,60620
KA_Gadag,overall,26011
KA_Hassan,overall,108159
KA_Haveri,overall,21886
KA_Kalaburagi,overall,61697
KA_Kodagu,overall,34217
KA_Kolar,overall,45970
KA_Koppal,overall,35122
KA_Mandya,overall,72612
KA_Mysuru,overall,174533
KA_Raichur,overall,39905
KA_Ramanagara,overall,24056
KA_Shivamogga,overall,67597
KA_Tumakuru,overall,118577
KA_Udupi,overall,71645
KA_Uttara Kannada,overall,54230
KA_Vijayapura,overall,36179
KA_Yadgir,overall,27502
KL_Alappuzha,overall,240519
KL_Ernakulam,overall,437452
KL_Idukki,overall,98133
KL_Kannur,overall,203055
KL_Kasaragod,overall,116396
KL_Kollam,overall,288215
KL_Kottayam,overall,235115
KL_Kozhikode,overall,394973
KL_Malappuram,overall,450082
KL_Palakkad,overall,274982
KL_Pathanamthitta,overall,138706
KL_Thiruvananthapuram,overall,346041
KL_Thrissur,overall,362333
KL_Wayanad,overall,85539
LA_Kargil,overall,3575
LA_Leh,overall,16870
LD_Lakshadweep,overall,10285
MH_Ahmednagar,overall,297459
MH_Akola,overall,58649
MH_Amravati,overall,96024
MH_Beed,overall,99886
MH_Bhandara,overall,60040
MH_Buldhana,overall,84871
MH_Chandrapur,overall,88711
MH_Dhule,overall,46277
MH_Gadchiroli,overall,30300
MH_Gondia,overall,40535
MH_Hingoli,overall,18424
MH_Jalgaon,overall,139822
MH_Jalna,overall,60344
MH_Kolhapur,overall,200833
MH_Latur,overall,91248
MH_Mumbai,overall,739069
MH_Nagpur,overall,493087
MH_Nanded,overall,90666
MH_Nandurbar,overall,39969
MH_Nashik,overall,403968
MH_Osmanabad,overall,65261
MH_Palghar,overall,133958
MH_Parbhani,overall,52283
MH_Pune,overall,1103268
MH_Raigad,overall,186255
MH_Ratnagiri,overall,73923
MH_Sangli,overall,194267
MH_Satara,overall,228831
MH_Sindhudurg,overall,49667
MH_Solapur,overall,196264
MH_Thane,overall,592750
MH_Wardha,overall,58345
MH_Washim,overall,41629
MH_Yavatmal,overall,76223
ML_East Garo Hills,overall,1771
ML_East Jaintia Hills,overall,2244
ML_East Khasi Hills,overall,34717
ML_North Garo Hills,overall,1631
ML_Ribhoi,overall,8472
ML_South Garo Hills,overall,1169
ML_South West Garo Hills,overall,1801
ML_South West Khasi Hills,overall,2035
ML_West Garo Hills,overall,8599
ML_West Jaintia Hills,overall,5730
ML_West Khasi Hills,overall,3219
MN_Churachandpur,overall,0
MP_Agar Malwa,overall,3303
MP_Alirajpur,overall,3501
MP_Anuppur,overall,9229
MP_Ashoknagar,overall,3670
MP_Balaghat,overall,9093
MP_Barwani,overall,8363
MP_Betul,overall,12901
MP_Bhind,overall,2994
MP_Bhopal,overall,123334
MP_Burhanpur,overall,2568
MP_Chhatarpur,overall,7607
MP_Chhindwara,overall,6732
MP_Damoh,overall,8120
MP_Datia,overall,6958
MP_Dewas,overall,7723
MP_Dhar,overall,12533
MP_Dindori,overall,4623
MP_Guna,overall,5132
MP_Gwalior,overall,53096
