districtid,overallid,dose1,dose2
GJ_Narmada,overall,293108,118086
GJ_Navsari,overall,635674,229345
GJ_Panchmahal,overall,679468,223003
GJ_Patan,overall,570006,182788
GJ_Porbandar,overall,320244,129120
GJ_Rajkot,overall,1748951,541801
GJ_Sabarkantha,overall,700217,215686
GJ_Surat,overall,3258016,972722
GJ_Surendranagar,overall,753625,134571
GJ_Tapi,overall,360557,107999
GJ_Vadodara,overall,2098748,674809
GJ_Valsad,overall,762723,269206
HP_Chamba,overall,305027,82432
HP_Hamirpur,overall,358566,134460
HP_Kangra,overall,1062430,332518
HP_Kinnaur,overall,74065,22933
HP_Kullu,overall,295658,87375
HP_Lahaul and Spiti,overall,26939,8661
HP_Mandi,overall,688121,233717
HP_Shimla,overall,561724,189175
HP_Sirmaur,overall,327619,74356
HP_Solan,overall,563827,120837
HP_Una,overall,396818,127147
HR_Ambala,overall,648861,256730
HR_Bhiwani,overall,421560,103054
HR_Charkhi Dadri,overall,307834,88366
HR_Faridabad,overall,1039257,311343
HR_Fatehabad,overall,326567,82393
HR_Gurugram,overall,1544589,517662
HR_Hisar,overall,500835,120255
HR_Jhajjar,overall,389811,107813
HR_Jind,overall,338393,81282
HR_Kaithal,overall,334728,81923
HR_Karnal,overall,548360,192305
HR_Kurukshetra,overall,347878,106880
HR_Mahendragarh,overall,360294,106498
HR_Nuh,overall,155316,24748
HR_Palwal,overall,349355,73996
HR_Panchkula,overall,339498,126331
HR_Panipat,overall,359823,111903
HR_Rewari,overall,356215,126591
HR_Rohtak,overall,385391,116915
HR_Sirsa,overall,437081,122678
HR_Sonipat,overall,575767,191322
HR_Yamunanagar,overall,424693,140517
JH_Bokaro,overall,468147,144323
JH_Chatra,overall,265172,44789
JH_Deoghar,overall,383729,78267
JH_Dhanbad,overall,604509,202493
JH_Dumka,overall,360252,72045
JH_East Singhbhum,overall,770884,271536
JH_Garhwa,overall,294093,59833
JH_Giridih,overall,576441,98036
JH_Godda,overall,381260,65117
JH_Gumla,overall,278365,61993
JH_Hazaribagh,overall,497004,113149
JH_Jamtara,overall,238934,51971
JH_Khunti,overall,153184,44994
JH_Koderma,overall,263987,49638
JH_Latehar,overall,170217,34354
JH_Lohardaga,overall,136824,27977
JH_Pakur,overall,235442,39677
JH_Palamu,overall,510029,110720
JH_Ramgarh,overall,272596,71577
JH_Ranchi,overall,825443,263325
JH_Sahibganj,overall,263913,43544
JH_Saraikela-Kharsawan,overall,276823,67674
JH_Simdega,overall,197159,34112
JH_West Singhbhum,overall,373514,83787
JK_Anantnag,overall,373523,96869
JK_Bandipora,overall,149410,40015
JK_Baramulla,overall,416970,118376
JK_Budgam,overall,306134,97803
JK_Doda,overall,201478,43023
JK_Ganderbal,overall,138708,42603
JK_Jammu,overall,706565,325744
JK_Kathua,overall,305603,82214
JK_Kishtwar,overall,104153,29965
JK_Kulgam,overall,212565,60790
JK_Kupwara,overall,360028,61613
JK_Pulwama,overall,249598,70638
JK_Punch,overall,253523,45015
JK_Rajouri,overall,311010,58580
JK_Ramban,overall,164429,48470
JK_Reasi,overall,182715,37381
JK_Samba,overall,192423,64180
JK_Shopiyan,overall,120282,42435
JK_Srinagar,overall,489945,128434
JK_Udhampur,overall,307165,79284
KA_Bagalkote,overall,666251,185496
KA_Ballari,overall,971507,282814
KA_Belagavi,overall,1606873,441241
KA_Bengaluru Rural,overall,442590,118346
KA_Bengaluru Urban,overall,7263343,2056687
KA_Bidar,overall,607557,151287
KA_Chamarajanagara,overall,401003,109583
KA_Chikkaballapura,overall,512675,155959
KA_Chikkamagaluru,overall,390270,166404
KA_Chitradurga,overall,621646,212319
KA_Dakshina Kannada,overall,993379,312039
KA_Davanagere,overall,615031,154013
KA_Dharwad,overall,727618,202268
KA_Gadag,overall,372155,124221
KA_Hassan,overall,686651,228657
KA_Haveri,overall,466300,116038
KA_Kalaburagi,overall,747715,184076
KA_Kodagu,overall,239366,88071
KA_Kolar,overall,685352,160867
KA_Koppal,overall,485990,137214
KA_Mandya,overall,739470,211163
KA_Mysuru,overall,1436322,503350
KA_Raichur,overall,572771,143759
