State,Level,Name,TOT_P,TOT_M,TOT_F
28,DISTRICT,west godavari,3936966,1964918,1972048
28,DISTRICT,krishna,4517398,2267375,2250023
28,DISTRICT,guntur,4887813,2440521,2447292
28,DISTRICT,prakasam,3397448,1714764,1682684
28,DISTRICT,s.p.s. nellore,2963557,1492974,1470583
28,DISTRICT,y.s.r. kadapa,2882469,1451777,1430692
28,DISTRICT,kurnool,4053463,2039227,2014236
28,DISTRICT,anantapur,4081148,2064495,2016653
28,DISTRICT,chittoor,4174064,2090204,2083860
29,STATE,Karnataka,61095297,30966657,30128640
29,DISTRICT,belagavi,4779661,2423063,2356598
29,DISTRICT,bagalkote,1889752,950111,939641
29,DISTRICT,vijayapura,2177331,1111022,1066309
29,DISTRICT,bidar,1703300,870665,832635
29,DISTRICT,raichur,1928812,964511,964301
29,DISTRICT,koppal,1389920,699926,689994
29,DISTRICT,gadag,1064570,537147,527423
29,DISTRICT,dharwad,1847023,937206,909817
29,DISTRICT,uttara kannada,1437169,726256,710913
29,DISTRICT,haveri,1597668,819128,778540
29,DISTRICT,ballari,2452595,1236954,1215641
29,DISTRICT,chitradurga,1659456,840843,818613
29,DISTRICT,davanagere,1945497,986400,959097
29,DISTRICT,shivamogga,1752753,877415,875338
29,DISTRICT,udupi,1177361,562131,615230
29,DISTRICT,chikkamagaluru,1137961,566622,571339
29,DISTRICT,tumakuru,2678980,1350594,1328386
29,DISTRICT,bengaluru,9621551,5022661,4598890
29,DISTRICT,mandya,1805769,905085,900684
29,DISTRICT,hassan,1776421,883667,892754
29,DISTRICT,dakshina kannada,2089649,1034714,1054935
29,DISTRICT,kodagu,554519,274608,279911
29,DISTRICT,mysuru,3001127,1511600,1489527
29,DISTRICT,chamarajanagara,1020791,512231,508560
29,DISTRICT,kalaburagi,2566326,1301755,1264571
29,DISTRICT,yadgir,1174271,590329,583942
29,DISTRICT,kolar,1536401,776396,760005
29,DISTRICT,chikkaballapura,1255104,636437,618667
29,DISTRICT,bengaluru rural,990923,509172,481751
29,DISTRICT,ramanagara,1082636,548008,534628
30,STATE,Goa,1458545,739140,719405
30,DISTRICT,north goa,818008,416677,401331
30,DISTRICT,south goa,640537,322463,318074
31,STATE,Lakshadweep,64473,33123,31350
31,DISTRICT,lakshadweep,64473,33123,31350
32,STATE,Kerala,33406061,16027412,17378649
32,DISTRICT,kasaragod,1307375,628613,678762
32,DISTRICT,kannur,2523003,1181446,1341557
32,DISTRICT,wayanad,817420,401684,415736
32,DISTRICT,kozhikode,3086293,1470942,1615351
32,DISTRICT,malappuram,4112920,1960328,2152592
32,DISTRICT,palakkad,2809934,1359478,1450456
32,DISTRICT,thrissur,3121200,1480763,1640437
32,DISTRICT,ernakulam,3282388,1619557,1662831
32,DISTRICT,idukki,1108974,552808,556166
32,DISTRICT,kottayam,1974551,968289,1006262
32,DISTRICT,alappuzha,2127789,1013142,1114647
32,DISTRICT,pathanamthitta,1197412,561716,635696
32,DISTRICT,kollam,2635375,1246968,1388407
32,DISTRICT,thiruvananthapuram,3301427,1581678,1719749
33,STATE,Tamil Nadu,72147030,36137975,36009055
33,DISTRICT,thiruvallur,3728104,1876062,1852042
33,DISTRICT,chennai,4646732,2335844,2310888
33,DISTRICT,kancheepuram,3998252,2012958,1985294
33,DISTRICT,vellore,3936331,1961688,1974643
33,DISTRICT,tiruvannamalai,2464875,1235889,1228986
33,DISTRICT,viluppuram,3458873,1740819,1718054
33,DISTRICT,salem,3482056,1781571,1700485
33,DISTRICT,namakkal,1726601,869280,857321
33,DISTRICT,erode,2251744,1129868,1121876
33,DISTRICT,nilgiris,735394,360143,375251
33,DISTRICT,dindigul,2159775,1080938,1078837
33,DISTRICT,karur,1064493,528184,536309
33,DISTRICT,tiruchirappalli,2722290,1352284,1370006
33,DISTRICT,perambalur,565223,282157,283066
33,DISTRICT,ariyalur,754894,374703,380191
33,DISTRICT,cuddalore,2605914,1311697,1294217
33,DISTRICT,nagapattinam,1616450,798127,818323
33,DISTRICT,thiruvarur,1264277,626693,637584
33,DISTRICT,thanjavur,2405890,1182416,1223474
33,DISTRICT,pudukkottai,1618345,803188,815157
33,DISTRICT,sivaganga,1339101,668672,670429
33,DISTRICT,madurai,3038252,1526475,1511777
33,DISTRICT,theni,1245899,625683,620216
33,DISTRICT,virudhunagar,1942288,967709,974579
33,DISTRICT,ramanathapuram,1353445,682658,670787
33,DISTRICT,thoothukkudi,1750176,865021,885155
33,DISTRICT,tirunelveli,3077233,1520912,1556321
33,DISTRICT,kanyakumari,1870374,926345,944029
33,DISTRICT,dharmapuri,1506843,774303,732540
33,DISTRICT,krishnagiri,1879809,960232,919577
33,DISTRICT,coimbatore,3458045,1729297,1728748
33,DISTRICT,tiruppur,2479052,1246159,1232893
34,STATE,Puducherry,1247953,612511,635442
34,DISTRICT,yanam,55626,27301,28325
34,DISTRICT,puducherry,950289,468258,482031
34,DISTRICT,mahe,41816,19143,22673
34,DISTRICT,karaikal,200222,97809,102413
35,STATE,Andaman and Nicobar Islands,380581,202871,177710
35,DISTRICT,nicobars,36842,20727,16115
35,DISTRICT,north and middle andaman,105597,54861,50736
35,DISTRICT,south andaman,238142,127283,110859
07,DISTRICT,delhi,5678786,2857291,2821495
25,STATE,Dadra and Nagar Haveli and Daman and Diu,586956,344061,242895
26,STATE,Telangana,35193978,17704078,17489900
