State,Level,Name,TOT_P,TOT_M,TOT_F
09,STATE,Uttar Pradesh,199812341,104480510,95331831
09,DISTRICT,saharanpur,3466382,1834106,1632276
09,DISTRICT,muzaffarnagar,4143512,2193434,1950078
09,DISTRICT,bijnor,3682713,1921215,1761498
09,DISTRICT,moradabad,4772006,2503186,2268820
09,DISTRICT,rampur,2335819,1223889,1111930
09,DISTRICT,amroha,1840221,963449,876772
09,DISTRICT,meerut,3443689,1825743,1617946
09,DISTRICT,baghpat,1303048,700070,602978
09,DISTRICT,ghaziabad,4681645,2488834,2192811
09,DISTRICT,gautam buddha nagar,1648115,890214,757901
09,DISTRICT,bulandshahr,3499171,1845260,1653911
09,DISTRICT,aligarh,3673889,1951996,1721893
09,DISTRICT,hathras,1564708,836127,728581
09,DISTRICT,mathura,2547184,1367125,1180059
09,DISTRICT,agra,4418797,2364953,2053844
09,DISTRICT,firozabad,2498156,1332046,1166110
09,DISTRICT,mainpuri,1868529,993377,875152
09,DISTRICT,budaun,3681896,1967759,1714137
09,DISTRICT,bareilly,4448359,2357665,2090694
09,DISTRICT,pilibhit,2031007,1072002,959005
09,DISTRICT,shahjahanpur,3006538,1606403,1400135
09,DISTRICT,lakhimpur kheri,4021243,2123187,1898056
09,DISTRICT,sitapur,4483992,2375264,2108728
09,DISTRICT,hardoi,4092845,2191442,1901403
09,DISTRICT,unnao,3108367,1630087,1478280
09,DISTRICT,lucknow,4589838,2394476,2195362
09,DISTRICT,rae bareli,3405559,1752542,1653017
09,DISTRICT,farrukhabad,1885204,1006240,878964
09,DISTRICT,kannauj,1656616,881776,774840
09,DISTRICT,etawah,1581810,845856,735954
09,DISTRICT,auraiya,1379545,740040,639505
09,DISTRICT,kanpur dehat,1796184,963255,832929
09,DISTRICT,kanpur nagar,4581268,2459806,2121462
09,DISTRICT,jalaun,1689974,906092,783882
09,DISTRICT,jhansi,1998603,1057436,941167
09,DISTRICT,lalitpur,1221592,641011,580581
09,DISTRICT,hamirpur,1104285,593537,510748
09,DISTRICT,mahoba,875958,466358,409600
09,DISTRICT,banda,1799410,965876,833534
09,DISTRICT,chitrakoot,991730,527721,464009
09,DISTRICT,fatehpur,2632733,1384722,1248011
09,DISTRICT,pratapgarh,3209141,1606085,1603056
09,DISTRICT,kaushambi,1599596,838485,761111
09,DISTRICT,prayagraj,5954391,3131807,2822584
09,DISTRICT,barabanki,3260699,1707073,1553626
09,DISTRICT,ayodhya,2470996,1259628,1211368
09,DISTRICT,ambedkar nagar,2397888,1212410,1185478
09,DISTRICT,sultanpur,3797117,1914586,1882531
09,DISTRICT,bahraich,3487731,1843884,1643847
09,DISTRICT,shrawasti,1117361,593897,523464
09,DISTRICT,balrampur,2148665,1114721,1033944
09,DISTRICT,gonda,3433919,1787146,1646773
09,DISTRICT,siddharthnagar,2559297,1295095,1264202
09,DISTRICT,basti,2464464,1255272,1209192
09,DISTRICT,sant kabir nagar,1715183,869656,845527
09,DISTRICT,maharajganj,2684703,1381754,1302949
09,DISTRICT,gorakhpur,4440895,2277777,2163118
09,DISTRICT,kushinagar,3564544,1818055,1746489
09,DISTRICT,deoria,3100946,1537436,1563510
09,DISTRICT,azamgarh,4613913,2285004,2328909
09,DISTRICT,mau,2205968,1114709,1091259
09,DISTRICT,ballia,3239774,1672902,1566872
09,DISTRICT,jaunpur,4494204,2220465,2273739
09,DISTRICT,ghazipur,3620268,1855075,1765193
09,DISTRICT,chandauli,1952756,1017905,934851
09,DISTRICT,varanasi,3676841,1921857,1754984
09,DISTRICT,bhadohi,1578213,807099,771114
09,DISTRICT,mirzapur,2496970,1312302,1184668
09,DISTRICT,sonbhadra,1862559,971344,891215
09,DISTRICT,etah,1774480,947339,827141
09,DISTRICT,kasganj,1436719,764165,672554
10,STATE,Bihar,104099452,54278157,49821295
10,DISTRICT,west champaran,3935042,2061110,1873932
10,DISTRICT,east champaran,5099371,2681209,2418162
10,DISTRICT,sheohar,656246,346673,309573
10,DISTRICT,sitamarhi,3423574,1803252,1620322
10,DISTRICT,madhubani,4487379,2329313,2158066
10,DISTRICT,supaul,2229076,1155283,1073793
10,DISTRICT,araria,2811569,1463333,1348236
10,DISTRICT,kishanganj,1690400,866970,823430
10,DISTRICT,purnia,3264619,1699370,1565249
10,DISTRICT,katihar,3071029,1600430,1470599
10,DISTRICT,madhepura,2001762,1047559,954203
10,DISTRICT,saharsa,1900661,997174,903487
10,DISTRICT,darbhanga,3937385,2059949,1877436
10,DISTRICT,muzaffarpur,4801062,2527497,2273565
10,DISTRICT,gopalganj,2562012,1267666,1294346
10,DISTRICT,siwan,3330464,1675090,1655374
10,DISTRICT,saran,3951862,2022821,1929041
10,DISTRICT,vaishali,3495021,1844535,1650486
10,DISTRICT,samastipur,4261566,2230003,2031563
10,DISTRICT,begusarai,2970541,1567660,1402881
10,DISTRICT,khagaria,1666886,883786,783100
10,DISTRICT,bhagalpur,3037766,1615663,1422103
10,DISTRICT,banka,2034763,1067140,967623
10,DISTRICT,munger,1367765,729041,638724
10,DISTRICT,lakhisarai,1000912,526345,474567
10,DISTRICT,sheikhpura,636342,329743,306599
10,DISTRICT,nalanda,2877653,1497060,1380593
10,DISTRICT,patna,5838465,3078512,2759953
10,DISTRICT,bhojpur,2728407,1430380,1298027
10,DISTRICT,buxar,1706352,887977,818375
10,DISTRICT,kaimur,1626384,847006,779378
10,DISTRICT,rohtas,2959918,1543546,1416372
